Epoch,training_accuracy,validation_accuracy,training_loss,validation_loss,Time
0,56.8705056,65.32887402,1.88956847,1.812721788,2024-05-04T::11:40:30
1,59.44032555,55.54069119,1.864212511,1.901524515,2024-05-04T::11:43:34
2,62.66235576,72.82051282,1.830991506,1.732363915,2024-05-04T::11:46:37
3,64.57439099,79.33110368,1.813378611,1.670215341,2024-05-04T::11:49:40
4,66.73170188,77.70345596,1.791165995,1.685612734,2024-05-04T::11:52:40
5,67.73510229,76.92307692,1.779242021,1.692588241,2024-05-04T::11:55:40
6,70.31607113,86.62207358,1.755166487,1.597512523,2024-05-04T::11:58:39
7,71.75985283,82.76477146,1.742023175,1.635436425,2024-05-04T::12:01:41
8,72.09431964,88.85172798,1.737728279,1.576669648,2024-05-04T::12:04:42
9,73.02525224,89.1638796,1.727385038,1.573412331,2024-05-04T::12:07:42
10,74.56937399,86.51059086,1.713812788,1.597510493,2024-05-04T::12:10:44
11,75.50588104,92.61984392,1.704105634,1.537158765,2024-05-04T::12:13:45
12,75.41668989,90.0780379,1.705229872,1.562411216,2024-05-04T::12:16:47
13,75.72328446,86.86733556,1.701122191,1.591103344,2024-05-04T::12:19:51
14,76.93851385,87.78149387,1.690171238,1.584347652,2024-05-04T::12:22:55
15,77.4569374,92.28539576,1.685041435,1.537971275,2024-05-04T::12:25:58
16,77.05557723,92.24080268,1.688850137,1.540927156,2024-05-04T::12:29:02
17,77.77468086,90.4793757,1.681159872,1.558172643,2024-05-04T::12:32:07
18,78.96761246,90.85841695,1.670493591,1.555427626,2024-05-04T::12:35:13
19,78.43246558,93.53400223,1.67558917,1.526630712,2024-05-04T::12:38:17
