Epoch   training_accuracy   validation_accuracy training_loss       validation_loss     Time                
0       56.87050560231897   65.3288740245262    1.889568469847375   1.8127217878226283  2024-05-04T::11:40:30
1       59.44032554768939   55.540691192865104  1.8642125110575223  1.9015245153386398  2024-05-04T::11:43:34
2       62.6623557611907    72.82051282051282   1.8309915060453024  1.7323639151040344  2024-05-04T::11:46:37
3       64.57439099169407   79.33110367892976   1.8133786108192063  1.6702153411200038  2024-05-04T::11:49:40
4       66.73170187858855   77.70345596432553   1.7911659953003474  1.685612733678037   2024-05-04T::11:52:40
5       67.7351022910976    76.92307692307692   1.7792420208772874  1.6925882410748574  2024-05-04T::11:55:40
6       70.31607112994035   86.62207357859532   1.755166487047804   1.5975125230504101  2024-05-04T::11:58:39
7       71.75985283460616   82.76477146042363   1.7420231753067112  1.6354364254296463  2024-05-04T::12:01:41
8       72.09431963877586   88.85172798216277   1.7377282786921808  1.5766696484487677  2024-05-04T::12:04:42
9       73.02525224371482   89.1638795986622    1.7273850375105777  1.5734123305493826  2024-05-04T::12:07:42
10      74.56937398963153   86.51059085841695   1.713812787583805   1.5975104926743966  2024-05-04T::12:10:44
11      75.50588104130665   92.61984392419176   1.7041056335716112  1.5371587649783205  2024-05-04T::12:13:45
12      75.41668989352807   90.07803790412486   1.7052298715195342  1.5624112158059225  2024-05-04T::12:16:47
13      75.72328446401694   86.86733556298773   1.7011221912880419  1.5911033437769608  2024-05-04T::12:19:51
14      76.93851385250014   87.7814938684504    1.690171238041604   1.5843476515223547  2024-05-04T::12:22:55
15      77.45693739896315   92.28539576365664   1.6850414346246159  1.5379712747085137  2024-05-04T::12:25:58
16      77.05557723395953   92.24080267558529   1.6888501370016904  1.5409271564347888  2024-05-04T::12:29:02
17      77.77468086292436   90.47937569676701   1.6811598715722667  1.5581726425483133  2024-05-04T::12:32:07
18      78.9676124644629    90.85841694537346   1.670493590959253   1.5554276263586566  2024-05-04T::12:35:13
19      78.4324655777914    93.5340022296544    1.6755891701541907  1.5266307121494063  2024-05-04T::12:38:17
